File Name,LED Current,Lens Focal Length (mm),Exposure Time (sec),Line,Mean Background,Background Standard Deviation,Sets Found,Mean Signal 1u,Signal to Noise Ratio 1u,Mean Signal 5u,Signal to Noise Ratio 5u,Start to Start Distance From Last Set 5u,Mean Signal 10u,Signal to Noise Ratio 10u,Start to Start Distance From Last Set 10u,Start to Start Distance From Last Set 1u
10-09 25mm F1.4 7.8Amp 2sec 1-5-10uM.bmp,8,25,2,Right Middle,9.162,1.390,3,53.391,14.657,148.058,40.645,99,204.324,56.091,108,0
10-09 25mm F1.4 7.8Amp 2sec 1-5-10uM.bmp,8,25,2,Right Bottom,9.359,2.699,3,77.007,6.313,134.607,11.035,110,178.807,14.659,114,0
10-09 25mm F1.4 7.8Amp 5sec 1-5-10uM flipped.bmp,8,25,5,Left Top,31.611,4.553,3,139.667,8.620,203.733,12.574,114,227.667,14.052,0,112
10-09 25mm F1.4 7.8Amp 5sec 1-5-10uM flipped.bmp,8,25,5,Left Middle,37.327,4.212,3,116.227,9.711,206.493,17.254,113,219.027,18.301,0,101
10-09 25mm F1.4 7.8Amp 5sec 1-5-10uM flipped.bmp,8,25,5,Left Bottom,34.433,4.316,3,144.249,11.736,216.849,17.643,113,217.716,17.713,0,112
10-09 25mm F1.4 7.8Amp 5sec 1-5-10uM flipped.bmp,8,25,5,Center Top,26.447,4.827,3,140.871,9.394,213.204,14.218,109,232.271,15.489,0,113
10-09 25mm F1.4 7.8Amp 5sec 1-5-10uM flipped.bmp,8,25,5,Center Middle,33.951,4.605,3,172.120,13.922,221.120,17.886,115,224.720,18.177,0,111
10-09 25mm F1.4 7.8Amp 5sec 1-5-10uM flipped.bmp,8,25,5,Center Bottom,38.844,17.479,3,168.449,12.225,219.849,15.956,116,220.516,16.004,0,110
10-09 25mm F1.4 7.8Amp 5sec 1-5-10uM flipped.bmp,8,25,5,Right Top,18.118,2.283,3,109.911,16.257,187.711,27.764,112,234.711,34.715,0,112
10-09 25mm F1.4 7.8Amp 5sec 1-5-10uM flipped.bmp,8,25,5,Right Middle,23.204,2.792,3,149.311,21.834,209.911,30.695,111,234.711,34.322,0,113
10-09 25mm F1.4 7.8Amp 5sec 1-5-10uM flipped.bmp,8,25,5,Right Bottom,23.867,3.335,3,125.644,15.635,201.978,25.134,111,230.444,28.677,0,111
