File Name,LED Current,Lens Focal Length (mm),Exposure Time (sec),Line,Mean Background,Background Standard Deviation,Sets Found,Mean Signal 1u,Signal to Noise Ratio 1u,Limit of Detection (nM) 1u,Mean Signal 5u,Signal to Noise Ratio 5u,Limit of Detection (nM) 5u,Start to Start Distance From Last Set 5u,Mean Signal 10u,Signal to Noise Ratio 10u,Limit of Detection (nM) 10u,Start to Start Distance From Last Set 10u,Start to Start Distance From Last Set 1u
10-09 25mm F1.4 7.8Amp 2sec 1-5-10uM.bmp,8,25,2,Left Bottom,14.98,2.4,3,76.44,11.401,87.709,145.107,21.643,231.02,112,207.973,31.02,322.373,113,0
10-09 25mm F1.4 7.8Amp 2sec 1-5-10uM.bmp,8,25,2,Center Top,11.962,2.243,3,132.582,18.042,55.427,211.849,28.828,173.441,111,240.116,32.675,306.046,113,0
10-09 25mm F1.4 7.8Amp 2sec 1-5-10uM.bmp,8,25,2,Center Middle,13.84,2.069,3,136.08,23.561,42.443,197.547,34.204,146.184,112,238.28,41.256,242.388,110,0
10-09 25mm F1.4 7.8Amp 2sec 1-5-10uM.bmp,8,25,2,Center Bottom,12.329,2.261,3,115.151,15.738,63.539,181.551,24.814,201.502,112,232.884,31.83,314.172,111,0
10-09 25mm F1.4 7.8Amp 2sec 1-5-10uM.bmp,8,25,2,Right Top,8.251,1.42,3,80.947,19.935,50.163,155.613,38.324,130.467,111,207.947,51.212,195.266,112,0
10-09 25mm F1.4 7.8Amp 2sec 1-5-10uM.bmp,8,25,2,Right Middle,9.162,1.39,3,53.391,14.657,68.227,148.058,40.645,123.017,99,204.324,56.091,178.282,108,0
10-09 25mm F1.4 7.8Amp 2sec 1-5-10uM.bmp,8,25,2,Right Bottom,9.359,2.699,3,77.007,6.313,158.398,134.607,11.035,453.089,110,178.807,14.659,682.176,114,0
10-09 25mm F1.4 7.8Amp 5sec 1-5-10uM flipped.bmp,8,25,5,Left Top,31.611,4.553,3,139.667,8.62,116.007,203.733,12.574,397.634,114,227.667,14.052,711.666,0,112
10-09 25mm F1.4 7.8Amp 5sec 1-5-10uM flipped.bmp,8,25,5,Left Middle,37.327,4.212,3,116.227,9.711,102.973,206.493,17.254,289.795,113,219.027,18.301,546.425,0,101
10-09 25mm F1.4 7.8Amp 5sec 1-5-10uM flipped.bmp,8,25,5,Left Bottom,34.433,4.316,3,144.249,11.736,85.208,216.849,17.643,283.404,113,217.716,17.713,564.552,0,112
10-09 25mm F1.4 7.8Amp 5sec 1-5-10uM flipped.bmp,8,25,5,Center Top,26.447,4.827,3,140.871,9.394,106.45,213.204,14.218,351.676,109,232.271,15.489,645.614,0,113
10-09 25mm F1.4 7.8Amp 5sec 1-5-10uM flipped.bmp,8,25,5,Center Middle,33.951,4.605,3,172.12,13.922,71.828,221.12,17.886,279.555,115,224.72,18.177,550.152,0,111
10-09 25mm F1.4 7.8Amp 5sec 1-5-10uM flipped.bmp,8,25,5,Center Bottom,38.844,17.479,3,168.449,12.225,81.798,219.849,15.956,313.371,116,220.516,16.004,624.847,0,110
10-09 25mm F1.4 7.8Amp 5sec 1-5-10uM flipped.bmp,8,25,5,Right Top,18.118,2.283,3,109.911,16.257,61.514,187.711,27.764,180.092,112,234.711,34.715,288.058,0,112
10-09 25mm F1.4 7.8Amp 5sec 1-5-10uM flipped.bmp,8,25,5,Right Middle,23.204,2.792,3,149.311,21.834,45.801,209.911,30.695,162.892,111,234.711,34.322,291.36,0,113
10-09 25mm F1.4 7.8Amp 5sec 1-5-10uM flipped.bmp,8,25,5,Right Bottom,23.867,3.335,3,125.644,15.635,63.958,201.978,25.134,198.932,111,230.444,28.677,348.716,0,111
10-09 25mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,25,5,Left Top,28.327,4.235,3,152.973,11.019,90.75,227.907,16.417,304.561,112,230.973,16.638,601.034,114,0
10-09 25mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,25,5,Left Middle,36.2,7.62,3,145.471,4.529,220.788,206.338,6.424,778.293,115,217.271,6.765,1478.256,113,0
10-09 25mm F1.4 7.8Amp 5sec 1-5-10uM.bmp,8,25,5,Left Bottom,32.204,3.946,3,126.653,10.805,92.549,191.92,16.373,305.377,111,218.253,18.62,537.063,110,0
