File Name,LED Current,Lens Focal Length (mm),Exposure Time (sec),Line,Mean Background,Background Standard Deviation,Sets Found,Mean Signal 10u,Signal to Noise Ratio 10u,Mean Signal 5u,Signal to Noise Ratio 5u,Start to Start Distance From Last Set 5u,Mean Signal 1u,Signal to Noise Ratio 1u,Start to Start Distance From Last Set 1u,Mean Signal 500n,Signal to Noise Ratio 500n,Start to Start Distance From Last Set 500n,Mean Signal 100n,Signal to Noise Ratio 100n,Start to Start Distance From Last Set 100n,Mean Signal 50n,Signal to Noise Ratio 50n,Start to Start Distance From Last Set 50n
10-08 unchopped cube 2sec G20 7.8A 25mm lens F1.4 10-02 Red Exc chip.bmp,8,25,2,Assays,7.044,1.023,6,46.689,15.212,72.689,23.683,126,25.356,8.261,141,12.156,3.960,140,3.822,1.245,130,5.622,1.832,153
10-08 unchopped cube 2sec G20 7.8A 25mm lens F1.4 10-02 Red Exc chip.bmp,8,25,2,Known Concentration,6.866,1.186,6,183.068,51.432,126.201,35.455,140,31.134,8.747,140,17.601,4.945,142,5.468,1.536,136,4.668,1.311,141
10-08 unchopped cube 2sec G20 7.8A 35mm lens F1.4 10-02 Red Exc chip.bmp,8,35,2,Assays,5.021,1.034,4,31.245,10.076,47.645,15.364,136,17.512,5.647,139,8.112,2.616,141,0.000,0.000,0,0.000,0.000,0
10-08 unchopped cube 2sec G20 7.8A 35mm lens F1.4 10-02 Red Exc chip.bmp,8,35,2,Known Concentration,5.143,1.166,4,154.257,44.093,94.923,27.133,140,20.057,5.733,140,10.723,3.065,140,0.000,0.000,0,0.000,0.000,0
2sec G20 4A 16mm lens F1.4 10-02 Red Exc chip.bmp,4,16,2,Assays,9.628,1.297,4,91.839,23.597,116.239,29.867,140,37.972,9.757,138,20.039,5.149,138,0.000,0.000,0,0.000,0.000,0
2sec G20 4A 16mm lens F1.4 10-02 Red Exc chip.bmp,4,16,2,Known Concentration,9.070,1.864,4,195.596,34.972,130.263,23.291,140,31.263,5.590,140,14.063,2.514,138,0.000,0.000,0,0.000,0.000,0
2sec G20 4A 16mm lens F1.4 10-02 Red Exc no chip no carrier.bmp,4,16,2,Assays,6.853,1.180,0,0.000,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0
2sec G20 4A 16mm lens F1.4 10-02 Red Exc no chip no carrier.bmp,4,16,2,Known Concentration,6.640,1.122,0,0.000,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0
2sec G20 4A 16mm lens F1.4 10-02 Red Exc no chip.bmp,4,16,2,Assays,7.291,1.092,0,0.000,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0
2sec G20 4A 16mm lens F1.4 10-02 Red Exc no chip.bmp,4,16,2,Known Concentration,6.890,1.230,0,0.000,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0
2sec G20 4A 16mm lens F1.4 10-02 Red Exc no LED.bmp,4,16,2,Assays,1.769,0.775,0,0.000,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0
